# THE REACTION CORPUS.  One table, one id space, one API method: `mol.react(*others, reaction=...)`.
#
# A row is a row -- some name two groups, some name one, and which is true is `len(groups)`.  THE
# OXIDATION/REDUCTION/INTERCONVERSION TAXONOMY IS NOT A COLUMN: nothing computes it or checks it, and making
# it one would mean inventing a class for each of the multi-component rows.  It is the section
# comments below and nothing else, which cost nothing and claim nothing.
#
# `groups` NAMES ROWS OF functional.tsv, comma separated, IN SLOT ORDER, and the slot decides the map
# numbers the `product` column talks about: slot 0 keeps the group's own numbers, slot 1 has 100 added to
# each, slot 2 has 200.  So `[A:1]-[A:101]` bonds the first group's atom 1 to the second group's atom 1.
# `chython.reactions.compose_smirks(groups, product)` prints the SMIRKS a row composes to, which is the
# thing to read when a row does not fire.
#
# THE SLOT ORDER IS NOT THE CALLER'S ARGUMENT ORDER, and nothing reorders the caller's molecules to make it
# one.  `react()` hands every input to the matcher at once and the reactant side finds its components
# wherever they are, so a row states the chemical roles once and `acid.react(amine)` and `amine.react(acid)`
# are the same question.
#
# `ring_sizes` IS `<atom>:<sizes>` AND IT IS WHAT MAKES A ROW INTRAMOLECULAR.  A multi-slot row always
# composes an intermolecular template, whose components are demanded to be in DIFFERENT molecule
# components; filling `ring_sizes` composes a SECOND template demanding them in ONE, with the sizes as a
# product-side `r` on the atom named.  `1:5,6,7` reads "the ring through product atom :1 is 5-, 6- or
# 7-membered", and the atom must be one that lies on the new ring -- pick the wrong one and the row composes
# fine and never fires.  The two templates are mutually exclusive, so a substrate never yields the same
# product twice.  A ONE-SLOT ROW MAY NOT FILL IT: there is no intermolecular reading to distinguish such a
# row from, so the constraint goes in `product` by hand and the loader refuses the column outright.  LEAVE
# `ring_sizes` EMPTY UNLESS THE RING SIZE IS KNOWN -- an empty cell says "the intramolecular case of this
# row is not in the corpus yet", which is honest, while a guessed range invents chemistry.
#
# `product` is the product side of a SMIRKS: explicit-only, so an unstated charge, isotope or radical is the
# DEFAULT and not the matched atom's value.  `[A:N]` inherits the element of the atom it pairs with.  Every
# reactant atom whose number is absent here is DELETED, along with whatever hung only off it -- which is how
# a leaving group and its whole fragment go without being named.
#
# A CONFIGURATION AT THE REACTION CENTRE IS STATED IN `product` OR IT IS LOST.  A patch drops what it
# rewrites, so a product side silent about its own centre yields an unconfigured atom -- right for the row
# that racemizes, wrong for the row that inverts.  An atom the row merely mentions keeps what it had, so the
# carbinol of an esterified secondary alcohol needs no token.  Three tokens carry the whole table:
#
#   `@~`    inverted -- the SN2 rows, at the carbon the nucleophile displaces:       `[A@~:1]`
#   `@=`    kept     -- the alkenyl couplings, at the terminal that held the metal:  `[A@=:101]`
#   `&<n>`  racemic  -- a centre a radical, a carbanion or a hydride makes or unmakes: `[A;&1:101]`
#
# A ROW STATES A CONFIGURATION WHEN ITS OWN PROBE'S PRODUCT HOLDS ONE, which is what makes sibling rows
# differ: `21 appel` inverts a secondary alcohol and `20` has no centre to invert.  TWO FAMILIES ARE SILENT
# BECAUSE THEIR GROUPS MAP THE REACTING ATOMS ALONE.  A drawn sign is relative to the order of its centre's
# directions and so has to name three of them: `39 dihydroxylation` cannot state syn addition, the third
# direction being a substituent `alkene` does not number, while `38` marks the one centre a terminal alkene
# makes.  A geometry needs a mapped substituent on EACH terminal, which is why `53 alkyne_to_alkene`,
# `279`/`280` (HWE), `282`/`283` (Wittig) and `284` (Knoevenagel) state none: `aldehyde` and `ketone` map the
# carbonyl and nothing else.
#
# `probe` IS THE ROW'S OWN ACCEPTANCE TEST, `<reactants>>><product>`, and it is not optional.  A row that
# composes cleanly and never fires is invisible -- an absent reaction and an unmatchable one are the same
# empty result -- so `test/test_probes.py` fires every row on its own probe and demands the product back.
# EACH SIDE IS ONE RECORD: the reactant side finds its components wherever they are, so `CCBr.Oc1ccccc1`
# exercises the intermolecular template and a connected reactant side exercises the intramolecular one.
# The probe also refuses an unknown hydrogen count, which is what an all-`:` product side leaves behind.
#
# `name` is the CHEMICAL name and is shared by every row that spells a variant of the same reaction; it is
# what `reaction=` selects on, so the five amidation rows are one selectable reaction.
#
# PREFER ONE ROW WITH A `,` LIST TO SEVERAL ROWS THAT DIFFER BY AN ELEMENT: `aryl_halide` is `[Cl,Br,I;D1]`
# in one group and one row.  The bound on the merge is CHEMICAL, not notational -- F is left out because it
# does SNAr rather than couple, and `aryl_bromide_iodide` exists beside `aryl_halide` because a Sonogashira on
# an aryl chloride is not a claim this table makes.  Merging two rows a chemist would distinguish is a wrong
# row, not a tidy one.
#
# THE ROWS ABOVE THE APPENDED SECTION ARE A SEED, a spread across the reaction classes; the rows below it
# are grown from measured frequency of use.  Neither is the whole of chemistry and the table says so by
# being a table.
#
# ================================================================================================
# MULTI-COMPONENT.  Two groups, in two molecules or in one -- see `ring_sizes`.
# ================================================================================================
id	name	groups	product	ring_sizes	probe	description
1	amidation	carboxylic_acid,primary_amine	[A:1](=[A:2])-[A:101]-[A:102]	1:5,6,7	C(C)(=O)O.C(C)N>>C(=O)(NCC)C	RCOOH + R'NH2 -> RCONHR'
2	amidation	carboxylic_acid,primary_aniline	[A:1](=[A:2])-[A:101]-[A:102]	1:5,6,7	C(C)(=O)O.c1c(N)cccc1>>c1ccc(NC(=O)C)cc1	RCOOH + ArNH2 -> RCONHAr
3	amidation	carboxylic_acid,secondary_amine	[A:1](=[A:2])-[A:101](-[A:102])-[A:103]	1:5,6,7	C(C)(=O)O.CNC>>N(C)(C(C)=O)C	RCOOH + R'2NH -> RCONR'2
4	amidation	acyl_chloride,primary_amine	[A:1](=[A:2])-[A:101]-[A:102]	1:5,6,7	C(C)(=O)Cl.C(C)N>>C(=O)(NCC)C	RCOCl + R'NH2 -> RCONHR'
5	amidation	acyl_chloride,secondary_amine	[A:1](=[A:2])-[A:101](-[A:102])-[A:103]	1:5,6,7	C(C)(=O)Cl.CNC>>N(C)(C(C)=O)C	RCOCl + R'2NH -> RCONR'2
6	esterification	carboxylic_acid,primary_alcohol	[A:1](=[A:2])-[A:101]-[A:102]	1:5,6,7	C(C)(=O)O.C(C)O>>C(C)OC(C)=O	RCOOH + R'CH2OH -> RCOOCH2R'
7	esterification	carboxylic_acid,secondary_alcohol	[A:1](=[A:2])-[A:101]-[A:102]	1:5,6,7	C(C)(=O)O.C(C)(O)C>>CC(OC(C)=O)C	RCOOH + R'2CHOH -> ester
8	suzuki	aryl_halide,aryl_boronic_acid	[A:1]-[A:101]		c1c(Br)cccc1.B(O)(c1ccccc1)O>>c1cc(-c2ccccc2)ccc1	ArX + Ar'B(OH)2 -> Ar-Ar'
9	suzuki	aryl_halide,aryl_boronic_ester	[A:1]-[A:101]		c1c(Br)cccc1.CC1(OB(c2ccccc2)OC1(C)C)C>>c1cc(-c2ccccc2)ccc1	ArX + Ar'Bpin -> Ar-Ar'
10	suzuki	aryl_halide,alkyl_boronic_acid	[A:1]-[A:101]		c1c(Br)cccc1.B(O)(CCCC)O>>C(CC)Cc1ccccc1	ArX + RB(OH)2 -> Ar-R
11	buchwald_hartwig	aryl_halide,primary_amine	[A:1]-[A:101]-[A:102]	1:5,6,7	c1c(Br)cccc1.C(C)N>>N(c1ccccc1)CC	ArX + R'NH2 -> ArNHR'
12	buchwald_hartwig	aryl_halide,secondary_amine	[A:1]-[A:101](-[A:102])-[A:103]	1:5,6,7	c1c(Br)cccc1.CNC>>N(C)(c1ccccc1)C	ArX + R'2NH -> ArNR'2
13	buchwald_hartwig	aryl_halide,primary_aniline	[A:1]-[A:101]-[A:102]	1:5,6,7	c1c(Br)cccc1.c1c(N)cccc1>>c1(Nc2ccccc2)ccccc1	ArX + Ar'NH2 -> ArNHAr'
14	sonogashira	aryl_bromide_iodide,terminal_alkyne	[A:1]-[A:101]#[A:102]		c1c(Br)cccc1.C(#C)CC>>C(c1ccccc1)#CCC	ArBr/ArI + HC#CR -> ArC#CR; ArCl needs conditions this row does not claim
15	n_alkylation	alkyl_halide,primary_amine	[A@~:1]-[A:101]-[A:102]	1:5,6	C[C@H](Br)CC.C(C)N>>C([C@H](NCC)C)C	RX + R'NH2 -> RNHR' (SN2)
16	n_alkylation	alkyl_halide,secondary_amine	[A@~:1]-[A:101](-[A:102])-[A:103]	1:5,6	C[C@H](Br)CC.CNC>>C(C)[C@H](N(C)C)C	RX + R'2NH -> RNR'2 (SN2)
17	williamson	alkyl_halide,phenol	[A@~:1]-[A:101]-[A:102]	1:5,6	C[C@H](Br)CC.c1c(O)cccc1>>c1ccccc1O[C@H](C)CC	RX + ArOH -> ArOR (Williamson)
18	urea_synthesis	isocyanate,primary_amine	[A:1]-[A:2](=[A:3])-[A:101]-[A:102]		C(=NCC)=O.C(C)N>>N(CC)C(=O)NCC	RNCO + R'NH2 -> RNHC(=O)NHR'
19	thioether_synthesis	alkyl_halide,thiol	[A@~:1]-[A:101]-[A:102]	1:5,6	C[C@H](Br)CC.C(C)S>>C([C@H](SCC)C)C	RX + R'SH -> RSR'
#
# ================================================================================================
# INTERCONVERSIONS.  One group in, one out, and neither an oxidation nor a reduction: a halide
# interchange, an electrophilic substitution, a ring opening.  The reagent is implicit -- a row says
# Appel takes an alcohol to a bromide, not that CBr4 and PPh3 are in the flask.
# ================================================================================================
20	appel	primary_alcohol	[Br;D1]-[A:2]		C(C)O>>C(C)Br	RCH2OH -> RCH2Br (CBr4/PPh3)
21	appel	secondary_alcohol	[Br;D1]-[A@~:2]		C[C@H](O)CC>>C(C)[C@H](Br)C	R2CHOH -> R2CHBr
22	appel_chloride	primary_alcohol	[Cl;D1]-[A:2]		C(C)O>>C(C)Cl	RCH2OH -> RCH2Cl (CCl4/PPh3)
